rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d1ab305-7fc6-4ab0-bc2a-9ae1e038e67e,0.951672
8aff426d-b8c0-43aa-ad26-835ef4de6129,0bf8ca82-5167-4cbf-8bed-020ea18b9510,0.765
8aff426d-b8c0-43aa-ad26-835ef4de6129,9aaf3186-32e9-4b8c-a282-048549b03da6,0.765
37e624be-b125-464f-85b6-1838530193ef,3d594a5b-ff2d-41a2-9c81-ae7a3b055f89,0.595
37e624be-b125-464f-85b6-1838530193ef,25c46875-dbeb-4ef4-ad33-7aff8384fb2a,0.4
37e624be-b125-464f-85b6-1838530193ef,0777b4fd-292a-439b-848f-d772ee28c3b8,0.34
b8257184-6307-46ab-b06e-d979336d1263,283974d5-071c-4122-a068-cd879af2b06d,0.6
b8257184-6307-46ab-b06e-d979336d1263,41dce460-7b73-4340-aa02-c10a79198432,0.55
b8257184-6307-46ab-b06e-d979336d1263,ceb7c087-e841-483e-8231-11e436c9e04c,0.4
63140d1f-dda8-40fe-8931-bcaba65d5772,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.665
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.52
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.52
11cffc57-44be-4d79-bfd5-97482be566d3,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.665
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.52
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.52
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.665
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.52
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.52
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.75
973d80a1-f1b8-461b-bb25-7d8852968b1c,c322fc6c-240c-4c09-9b88-d4f2c2395244,0.5
973d80a1-f1b8-461b-bb25-7d8852968b1c,c7dbd2da-a758-44ba-9e16-ee10ec99f631,0.4
8fe87807-dae8-4341-94fd-2ab91f176464,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.75
8fe87807-dae8-4341-94fd-2ab91f176464,c322fc6c-240c-4c09-9b88-d4f2c2395244,0.5
8fe87807-dae8-4341-94fd-2ab91f176464,c7dbd2da-a758-44ba-9e16-ee10ec99f631,0.4
c18a7f01-1cb6-4987-a2cc-93251d3719b9,94147869-54e7-4573-a1e8-446456d92dec,0.7
c18a7f01-1cb6-4987-a2cc-93251d3719b9,eb692c7e-4ed8-403c-9afa-f2d619884ac1,0.7
c18a7f01-1cb6-4987-a2cc-93251d3719b9,328d43fd-537d-4839-8f3b-372a1f3b1cd5,0.7
